cup,start_val,safe,state,debt,born,unsafe,wiped,bitten,shut,safe again,# oscillations,transition0,transition0_time,transition1,transition1_time,transition2,transition2_time,transition3,transition3_time,transition4,transition4_time,transition5,transition5_time,transition6,transition6_time,transition7,transition7_time
5443,2500,TRUE,wiped,0,1549302680,,1549426351,,,,0,wipe,1549426351,,,,,,,,,,,,,,
14265,19,TRUE,wiped,11.1,1549302436,,1549472425,,,,0,wipe,1549472425,,,,,,,,,,,,,,
14286,4,TRUE,open,4,1549302079,,,,,,0,,,,,,,,,,,,,,,,
14228,500,TRUE,open,500,1549301641,,,,,,0,,,,,,,,,,,,,,,,
14206,2,FALSE,bite,2,1549301395,1549415812,,1549417409,,,1,FALSE,1549415812,bite,1549417409,,,,,,,,,,,,
14199,5,TRUE,open,5,1549301364,,,,,,0,,,,,,,,,,,,,,,,
13975,0.146,TRUE,open,0.146,1549301055,,,,,,0,,,,,,,,,,,,,,,,
14199,14,TRUE,open,14,1549300918,,,,,,0,,,,,,,,,,,,,,,,
14286,5,TRUE,open,5,1549300500,,,,,,0,,,,,,,,,,,,,,,,
14285,5,TRUE,open,5,1549300263,,,,,,0,,,,,,,,,,,,,,,,
5897,80,TRUE,open,80,1549297666,,,,,,0,,,,,,,,,,,,,,,,
4244,250,TRUE,open,250,1549297165,,,,,,0,,,,,,,,,,,,,,,,
14284,500,TRUE,wiped,490,1549293394,,1549330346,,,,0,wipe,1549330346,,,,,,,,,,,,,,
14283,250,TRUE,open,250,1549293282,,,,,,0,,,,,,,,,,,,,,,,
14282,2,TRUE,wiped,1,1549291679,,1549305293,,,,0,wipe,1549305293,,,,,,,,,,,,,,
14281,4000,TRUE,open,4000,1549290293,,,,,,0,,,,,,,,,,,,,,,,
14280,1.98721875,TRUE,open,1.98721875,1549290093,,,,,,0,,,,,,,,,,,,,,,,
14164,1000,TRUE,wiped,461.9625,1549289488,,1549301462,,,,0,wipe,1549301462,,,,,,,,,,,,,,
13850,237.8517754,TRUE,wipe,237.8517754,1549288275,,1549415905,,,,0,wipe,1549415905,,,,,,,,,,,,,,
13850,362.979922,TRUE,wipe,362.979922,1549288219,,1549415905,,,,0,wipe,1549415905,,,,,,,,,,,,,,
13850,547.5755912,TRUE,wipe,547.5755912,1549288154,,1549415905,,,,0,wipe,1549415905,,,,,,,,,,,,,,
13838,55,TRUE,open,55,1549284526,,,,,,0,,,,,,,,,,,,,,,,
5860,10,TRUE,wiped,0,1549283937,,1549442819,,,,0,wipe,1549442819,,,,,,,,,,,,,,
829,700,TRUE,open,700,1549282781,,,,,,0,,,,,,,,,,,,,,,,
